38.8,6583331082,2443996,6583432659,2420539,26534910606,26534910606,26534910606,9608293883,26534910602,10248868003,26538461514,26538674520,23057910894,41867862,70612725,382652264,47831533,382687832,122861956,2.30E+11,31470046488,30368416199,30506647526,1308109048,1318289752,26499014254,26499181766,1287215606,34058652716,155089979,128782612,25400544394,25400745898,377785736,2.69E+11,1.61E+11,26256230658,26256394252,22401034548,24454407141,11438833392,257356040,26336674668,26336835204,351536164,410127047,96715932,38888553323,42854256789,1647578722,1832130433,164427,16122852,276597,9689,1509782271,20466530,139034880,144509376,388836673,82486508,116917367,215776312,66960,428390,556459068,11316898923,11837784645,39628808641,99143,10650198395,22331194497,32981386220,46673542005,93481508965,1.40E+11,519769,1626708699,38944668435,2719769498,1103136171,3577934397,11632583605,6591695651,1394175996,37496746,38451209193,669302788,48499672,72553634,103037140,462724206,32506618096,3884850354,5263848251,7011928127,7048579342,2485650292,4379725040,10538483365,809130898,3903318674,5281233429,7065320411,11438833392,302972148,679968552,749284,147277675,273267026,14883227556,7106623707,2461947200,4258429522,9940334757,786401421,17061674389,17061923762,11316898923,1195928114,287687611,39891279124,18422945228,13044969158,33039264347,19273445680,12455504637,6711875031,2466190260,40586621175,18787140169,13380758727,32354424696,18860801195,12154293738,6561481888,2414173800,43837631670,43838133597,38611660975,39736774426,16490827073,15955658722,32446482585,16458535806,16073253158,32531785292
469,7749661107,5914320,7751172271,5796292,1.28E+11,1.28E+11,1.28E+11,43917504776,1.28E+11,46845378434,1.28E+11,1.28E+11,1.05E+11,66410649,30003733,135875648,16984456,135923008,64037641,2.30E+11,80722840566,79685539224,79741005476,3010384240,3014941958,1.28E+11,1.28E+11,3038860576,84163590639,1380177102,1035651847,1.29E+11,1.29E+11,2531133854,6.02E+11,4.29E+11,1.28E+11,1.28E+11,69068702210,77959520024,29660270550,2128195160,1.29E+11,1.29E+11,3471523982,2869642009,1439936380,79958979812,1.05E+11,3021076335,3855174379,812961,31691821,2561604,10588,2261340809,51853701,1373331813,1040978673,2547382361,533737931,884183480,1423249081,163594,5342382,2877049842,29997942413,20369327849,93207960933,128940,24783361392,58264243305,83047590225,24546646607,57555655179,82102287224,24403,1828737684,72561837212,2449025239,1087791024,3461258835,21406949542,15888857193,1442268151,63437163,77857616135,2186944732,132518743,401882336,486808693,1136037731,81134405369,11812839915,22646847400,17317188970,17449056619,11075899773,9040487762,12883045017,1890767449,11746058960,22597152097,17199736344,29660270550,2255475863,3955294079,6571143,845151784,3005399446,36683751384,17482576076,11074187262,9038991973,12875563231,1874904011,44109199098,44113176498,29997942413,16095171714,5083085427,2.17E+11,92705303664,1.94E+11,98794472480,54644066267,31995323446,16345413762,10892487757,1.55E+11,69374197574,1.04E+11,93971530854,51843898208,29863145944,14826593235,5243720101,1.07E+11,2.09E+11,93320975533,93708533744,33883472619,50612466643,84495920542,49306819303,64252506151,1.14E+11
38.1,7385916908,6619598,7386365473,6587943,42472004944,42472004944,42472004944,14171191421,42472004940,15115993153,42477165982,42477225966,34009149968,171179883,13446906,56890880,7111360,56917344,97032843,2.30E+11,57705719889,37990849641,58395338111,1585220765,2272493001,43277804646,43277877438,1572989284,39975266586,136888666,86248316,42964964636,42965000890,300719759,2.87E+11,1.46E+11,42827423694,42827629920,26942869503,31688016607,17209600850,217356880,42400880312,42401078224,292240436,341074450,81613723,37915384177,38138008523,1556944070,1573353485,139185,16532825,284618,9925,1355614431,9602919,135711204,87148415,299136090,66533970,121453528,211265304,67849,859462,377357823,17682897195,19060296377,57725617800,98422,15518639703,25389679907,40908314270,15172398248,24343303632,39515696365,9250,1545662434,52200256859,2461657223,1080041776,3454378964,16565176509,10339657143,1329237363,28573721,57960004332,778756401,65368311,84398721,105654960,483104313,39150925215,8040263870,9608845525,10514077146,10641148441,2833625654,5926070243,12963607656,1049365937,8027909036,9594636595,10479983387,17209600850,259084388,510121474,943470,100433866,196971833,21959663179,10602575055,2832336605,5918649684,12971437213,1044865783,24154111196,24154806929,17682897195,1504808347,356981816,60127798491,25967746025,13580088538,40422349111,26316076324,17768182499,10299258013,4722078477,61188889161,26568371404,14105194892,39768334689,26081133145,17641114460,10239193355,4761513985,66224293924,66226189707,58633564466,58541021924,22715887585,17931251585,40647134484,22590933532,17995607684,40586533398
46.3,7563866987,5535540,7561755753,5430784,1.23E+11,1.23E+11,1.23E+11,42410305649,1.23E+11,45237678603,1.23E+11,1.23E+11,1.02E+11,66472364,30372548,136835896,17104487,136884664,64056586,2.30E+11,77804571293,77486790451,77543323701,2935272406,2939582665,1.24E+11,1.24E+11,2967825419,80551567752,1390880075,1068247711,1.24E+11,1.24E+11,2546796212,6.02E+11,4.30E+11,1.24E+11,1.24E+11,67741657645,68564926585,29497228499,2122447443,1.23E+11,1.23E+11,3512752450,2879345074,1454787535,78334491659,78338618904,2963852099,2964187875,165722,16420584,285795,10176,1485919754,47308512,1377771852,1048781486,2544507019,395446662,973119169,1371524377,64260,5061154,2869746985,29551835617,20622870414,94000693751,98763,24610195933,54955049825,79565232714,24640687385,55566796492,80207470877,9805,1824241028,72267708075,2388897375,1069636230,3436833214,21351445844,15882272317,1424339958,64533590,77921541662,2245712340,144617058,410213136,494016607,1138584182,78568977917,11729394780,22606823207,17157667596,17405919164,11118890400,9051227655,12809338125,1894813619,11745075296,22630440396,17133342320,29497228499,2388292839,3949984113,5043808,949988049,2908888695,36517411941,17330441312,11124169798,9142953547,13389190498,1905601162,43712943743,43745733401,29551835617,16117781438,3832948782,1.02E+11,51385254226,28200705603,79820115236,51292814638,29693104176,14817608035,5329260282,1.03E+11,51577789295,28365139697,79474649816,51304571194,29694412616,14816608780,5316720582,1.07E+11,1.07E+11,93393284472,93719629285,33812221146,46156284169,79968490459,33768203047,46000925275,79769113637
51.3,6806405515,7794434,6806045969,7771172,31561011042,31561011042,31561011042,11266074423,31561011038,12017170400,31564502852,31564703844,27036617528,45079470,68663284,370314048,46289250,370340488,120426641,2.30E+11,33151098006,33093991474,33095410984,1406996550,1407098245,31499413668,31499670746,1417790174,35451208691,128751339,153663793,32529057478,32529220738,349019271,2.53E+11,1.40E+11,31395309566,31395488794,21748996982,22976570112,13994977775,190357366,31658703324,31658951954,319181989,377419465,136962692,32445767474,32456443488,1380083322,1380894676,165195,16136434,272496,11538,1400328163,10303418,134341494,155320188,357811605,85987897,109508013,211551362,62805,788483,423576015,14056475644,15155448410,49541050543,97863,13209399471,21710317450,34919713213,13329735763,22096769247,35426499320,10937,1813300962,42865502365,2442480447,1078018014,3395870214,13834293507,8316373674,1402196914,77275121,48783231494,838869967,67421002,82862489,131194398,495580878,34363971349,5932513871,7433442557,8576430547,8694748545,2974019959,4840891570,11513513782,1199950105,5946772115,7448244724,8593205426,13994977775,236655858,560626416,889233,98987604,288460558,18530761827,8711894082,2961090859,4795149162,11275232018,1191087389,20205395871,20206022402,14056475644,1677742363,399055252,51019343596,22054262537,13400359337,38716821087,21784136745,14922024694,8817050533,3893588202,50663028706,21718113288,12776658177,34067246693,21487897716,14743457474,8727750427,3912608431,56395938347,56398054794,49672207858,49681336292,19287358596,15979237037,35266591769,18956227240,16072470072,35028688947
304.2,7357270022,5752489,7356553688,5613828,1.28E+11,1.28E+11,1.28E+11,43931008753,1.28E+11,46859765319,1.28E+11,1.28E+11,1.05E+11,66643897,30899381,138124768,17265596,138226152,64533853,2.30E+11,79833958617,80463291419,81533145164,3044034323,3100322971,1.28E+11,1.28E+11,3007774999,81892641437,1369889886,1074553945,1.28E+11,1.28E+11,2520029696,6.27E+11,4.43E+11,1.28E+11,1.28E+11,65498156679,75155407120,29827240753,2133858531,1.28E+11,1.28E+11,3474032252,2896349143,1462248476,80231303953,80271930846,3027416958,3030688486,163337,16524455,272927,9797,1467875066,46207744,1349207426,1070469685,2548314592,538523055,880918441,1425676534,150630,5499114,2852630473,29668061733,20836540320,94677802638,175548,24768430006,58168333745,82936751169,24380752563,57433649968,81814385573,16411,1819026893,72507538785,2421612688,1079498452,3563417695,21635279931,15994694460,1476225036,64354933,78415858036,2169060834,123547604,409443096,498146792,1138875687,80725540326,11714409173,22559837337,17060029690,17298383027,11088542537,9044821614,12789348490,1872905419,11743450505,22577065258,17020707351,29827240753,2261290044,3963348139,5091975,931199711,3030399608,36123539584,17235294023,11120636266,9180276898,13443565198,1895197072,43564444870,43566153075,29668061733,16137102978,3835712740,1.02E+11,51528192706,30515755111,83100471651,52256683105,30130065767,14950671819,5207898613,1.03E+11,51875185738,30339199796,81985588452,51732397191,29860402045,14832683863,5212247882,1.07E+11,1.07E+11,93727062085,92982448786,33517256402,47932143099,81449386871,33784911604,48165764608,81950660761
201,7929775403,6375586,7929031601,6329484,60542243626,60542243626,60542243626,21162776192,60542243622,22573638772,60545847620,60546026132,50788559986,60623598,52941056,274002352,34250292,274088024,98862807,2.30E+11,46446647484,48272752527,48276312495,1935906126,1936187931,60595857450,60596051388,1892544492,49192743231,120119296,71416585,61975255826,61975442468,275699311,3.63E+11,1.42E+11,60589586050,60589789414,33513049409,42607429792,23292514897,208000676,61365685246,61365871150,279692512,341647451,76539787,46357565199,46378109115,1857447206,1859120469,157860,18943371,279319,9328,2019390866,17246674,123273571,73582898,277346703,57294915,117715307,199222981,72442,1713234,345007870,22842526579,26233951935,74467451297,98084,19351783324,29037662924,48389439354,19621838895,29581683098,49203515998,8949,3209180094,66508963041,2415140727,1066344299,3471360912,20551664400,13654097733,1883826800,240862487,73255739941,910561371,76061776,104580188,156807241,547849668,47774365680,12143926312,14266438723,14308055830,14399976441,2981726817,6478935413,14507114758,1200234001,12115731305,14222483964,14174912530,23292514897,241470064,484220554,1758061,111327727,188672053,29627625498,14294524666,2973999011,6455155714,14418158954,1198518238,29629903528,29630747732,22842526579,1921624103,458686602,78929721046,33359855464,15768661204,49564821653,33647373696,22667882762,13959156926,6832088338,79191313363,33481364068,15342131301,49916564960,33935963258,22948079903,14069910702,6865666215,84972072923,85052386617,75478820158,74974366164,28838542295,20291608161,49130143520,28626976105,20303844998,48930814185
1835,7210020578,4333994,7207664688,4220123,81859497406,81859497406,81859497406,28355067824,81859497402,30245418304,81862979440,81863171828,68050185690,62152716,48506081,247257072,30907134,247316400,93694467,2.30E+11,57857667501,57094739625,57098785300,2227266430,2227593282,81918905764,81919061168,2244099440,59485578745,925352579,664326534,81911028246,81911202784,1745306808,4.43E+11,3.29E+11,81970467978,81970657056,43808769366,50548626482,22229391267,1385821862,81755433041,81755602704,2211140736,2054759392,872361005,58210538354,58223727740,2263440259,2264501764,162234,16574705,275544,9768,1369118933,33832255,926863562,643543356,1758487161,265168466,687087236,957287275,67887,3518255,2022763365,44176154890,16485459976,72093969736,99900,19009645445,79825891620,98835528707,27220116765,71723201820,98943310221,9144,1812747529,56841269214,2457843351,1066008521,3416186373,17352939295,11972634606,1402558619,51108520,61539590207,2226373796,192365168,448278144,524181714,958511668,97762056618,8955895819,15116718502,12975931192,13122871031,7563755586,7407925732,12282675245,1509485112,20234279646,35828733953,24759546407,22229391267,1613761399,2756830653,3917055,632611258,1791962108,27506784333,25424272283,17786896714,13996483014,16309591895,6581184249,32913578799,57873850826,44176154890,10689483612,2603192697,78171795308,37719536481,61333950881,99119023802,37615215060,22813120851,11837427268,4547891229,80259605695,38379458619,61603209785,99502437705,38276714639,23532310146,12433747484,4777542514,81823512430,1.83E+11,71838798009,72295850187,27369821075,72302104184,99671914291,47738367295,51176377811,98914736484
270.62,7023104785,4177147,7019000858,4071408,81863695702,81863695702,81863695702,28435086805,81863695698,30330774632,81867133680,81867314666,68242234542,61782523,48246275,245791024,30723877,245842000,92608857,2.30E+11,57161504248,57508699356,57522591794,2243367054,2244481547,82156331882,82156514490,2212525295,58757587165,906472320,640696396,81528161226,81528332386,1741302325,4.60E+11,3.29E+11,81705069516,81705252878,51084229281,54692003314,22391324251,1406551085,83065470442,83065680838,2183476105,2012347642,843417784,56773110056,56777357532,2221537202,2221871318,165902,16339356,273901,10267,1382192737,32859492,921884153,693204761,1737100892,257517885,698977727,961015028,70881,3423073,2034767750,22633526027,16358456331,71744388010,101021,19431471602,41969957496,61401411002,19193847681,41010961903,60204797317,14602,1771488781,56532155195,2391478496,1065409494,3442015024,17426451665,12018861614,1418767241,56089560,61351683809,1906112625,164056925,357449072,423972016,836931199,59089644651,9052577528,15244592035,13229543815,13331773318,7544588930,7348152117,11724679516,1513050728,9027412393,15252539493,13201767710,22391324251,1606063489,2703746878,3464438,653785808,1830294463,27735387441,13371856572,7557268239,7336565110,11990487933,1498988281,33078715285,33090338888,22633526027,10688524576,2601697006,79038429486,38094002185,22207696790,61004000553,37947804331,23121970252,12039532890,4562497754,79173247771,38177415559,22378693732,60289786861,38131749983,23261735944,12111793397,4493235519,81552818745,81556404794,71596767087,72340477727,27493030603,32461330195,59954348588,28009313672,32898698952,60908003778
77.8,8312767497,4241778,8362901699,4119951,41098550026,41098550026,41098550026,14560847425,41098550022,15531590304,41101976578,41102220770,34944107120,52462947,59602661,313067200,39133400,313170160,107689171,2.30E+11,37513046481,38077339469,38079830632,1555042779,1555230070,41182756378,41182954132,1555772675,39891995634,138343199,168484299,41183977896,41184170886,330304703,2.84E+11,1.36E+11,40920820576,40921024086,22695265574,31765893379,18535222319,211185608,41166492310,41166693390,371371723,356567692,164153916,37586535526,37588500550,1540007476,1540153185,165048,16228525,276776,9772,1809912020,7149290,137302909,165824931,342243129,92999060,102670554,294624454,66202,574650,404756256,18500220682,20810996032,63818493758,116905,17110398317,22761789167,39872181400,16906335547,22692971764,39599301959,9851,3343391511,54717452230,2447171463,1083003886,3366314774,17175648004,10680454874,1948637663,178184260,61366631367,1838597627,66614850,101711739,221724474,1462662078,38063151293,7692948534,10149669043,11846729150,12005119305,4844170620,7170030500,13721920268,2230719290,7668467028,10141262283,11821215476,18535222319,242014536,626062944,639008,139158193,325175463,25789434588,11977971042,4849238814,7265712137,13769287624,2264181152,24688256300,24700929583,18500220682,1452220416,357451996,68548991871,26647067084,13271157823,40391641613,26763132480,19693475170,12707912846,6643015960,69508545058,27216411102,13430393901,39379867561,26574597792,19684355735,12713314884,6680377489,74451229798,74472433779,63766697627,64226412039,23039077055,17001635672,40040707171,23027212328,17016380926,40043587686
